institution,city,state,region,control,level,predominant_degree,admission_rate,sat_average,undergrad_enrollment,pct_pell_grant,pct_first_generation,median_family_income,cost_of_attendance,tuition_in_state,tuition_out_state,completion_rate,median_debt_at_graduation,median_earnings_6yr,median_earnings_10yr,earnings_p25_10yr,earnings_p75_10yr,pct_earning_over_25k_10yr,debt_to_earnings,latitude,longitude
University of North Carolina at Charlotte,Charlotte,NC,Southeast,Public,4-year,Bachelor's,0.796,1231,24453,0.3394,0.284,44089,23010,7239,22492,0.6897,21500,48812,57289,38026,83186,0.796,0.375,35.306022,-80.730919
University of North Carolina at Greensboro,Greensboro,NC,Southeast,Public,4-year,Bachelor's,0.8851,1193,14062,0.5024,0.3128,37092,21373,7661,24012,0.5631,22858,39869,48160,32185,67995,0.725,0.475,36.068236,-79.809414
University of North Carolina at Pembroke,Pembroke,NC,Southeast,Public,4-year,Bachelor's,0.9326,1056,5330,0.5008,0.3656,31200,17261,3648,7648,0.4354,25000,37126,43407,28007,59070,0.68,0.576,34.688313,-79.200347
University of North Dakota,Grand Forks,ND,Plains,Public,4-year,Bachelor's,0.769,,9981,0.1715,0.1912,78651,25605,10951,15570,0.6048,22057,54588,63552,43722,88520,0.842,0.347,47.921654,-97.071738
University of North Florida,Jacksonville,FL,Southeast,Public,4-year,Bachelor's,0.5324,1153,13359,0.3075,0.3171,37074,20983,6389,20793,0.6921,15531,46546,56343,37373,79957,0.782,0.276,30.27194,-81.509144
University of North Georgia,Dahlonega,GA,Southeast,Public,4-year,Bachelor's,0.6794,1106,16146,0.2809,0.3404,44262,18177,5285,16503,0.3729,17750,43085,50135,31299,72196,0.787,0.354,34.530219,-83.985694
University of North Texas,Denton,TX,Southwest,Public,4-year,Bachelor's,0.7223,1109,34341,0.3804,0.348,40028,26243,11309,21149,0.6071,19250,46304,57010,36403,78812,0.789,0.338,33.211178,-97.148422
University of North Texas Health Science Center,Fort Worth,TX,Southwest,Public,4-year,Bachelor's,,,41,0.1176,,,,,,,,,93615,65977,159469,0.963,,32.749907,-97.369138
University of Northern Colorado,Greeley,CO,Rocky Mountains,Public,4-year,Bachelor's,0.8585,1082,5598,0.2618,0.3517,51738,29254,12416,27266,0.5124,20470,43756,52231,35297,71676,0.767,0.392,40.410855,-104.692777
University of Northern Iowa,Cedar Falls,IA,Plains,Public,4-year,Bachelor's,0.9274,1122,7529,0.2739,0.2249,70582,22278,9936,21712,0.6792,19691,47222,55177,40595,72594,0.829,0.357,42.514923,-92.459703
